id,prefecture_en,emergency_start,emergency_end,times
1,Hokkaido,2020-04-16,2020-05-25,1
2,Aomori,2020-04-16,2020-05-14,1
3,Iwate,2020-04-16,2020-05-14,1
4,Miyagi,2020-04-16,2020-05-14,1
5,Akita,2020-04-16,2020-05-14,1
6,Yamagata,2020-04-16,2020-05-14,1
7,Fukushima,2020-04-16,2020-05-14,1
8,Ibaraki,2020-04-16,2020-05-14,1
9,Tochigi,2020-04-16,2020-05-14,1
10,Gunma,2020-04-16,2020-05-14,1
11,Saitama,2020-04-07,2020-05-25,1
12,Chiba,2020-04-07,2020-05-25,1
13,Tokyo,2020-04-07,2020-05-25,1
14,Kanagawa,2020-04-07,2020-05-25,1
15,Niigata,2020-04-16,2020-05-14,1
16,Toyama,2020-04-16,2020-05-14,1
17,Ishikawa,2020-04-16,2020-05-14,1
18,Fukui,2020-04-16,2020-05-14,1
19,Yamanashi,2020-04-16,2020-05-14,1
20,Nagano,2020-04-16,2020-05-14,1
21,Gifu,2020-04-16,2020-05-14,1
22,Shizuoka,2020-04-16,2020-05-14,1
23,Aichi,2020-04-16,2020-05-14,1
24,Mie,2020-04-16,2020-05-14,1
25,Shiga,2020-04-16,2020-05-14,1
26,Kyoto,2020-04-16,2020-05-21,1
27,Osaka,2020-04-07,2020-05-21,1
28,Hyogo,2020-04-07,2020-05-21,1
29,Nara,2020-04-16,2020-05-14,1
30,Wakayama,2020-04-16,2020-05-14,1
31,Tottori,2020-04-16,2020-05-14,1
32,Shimane,2020-04-16,2020-05-14,1
33,Okayama,2020-04-16,2020-05-14,1
34,Hiroshima,2020-04-16,2020-05-14,1
35,Yamaguchi,2020-04-16,2020-05-14,1
36,Tokushima,2020-04-16,2020-05-14,1
37,Kagawa,2020-04-16,2020-05-14,1
38,Ehime,2020-04-16,2020-05-14,1
39,Kochi,2020-04-16,2020-05-14,1
40,Fukuoka,2020-04-07,2020-05-14,1
41,Saga,2020-04-16,2020-05-14,1
42,Nagasaki,2020-04-16,2020-05-14,1
43,Kumamoto,2020-04-16,2020-05-14,1
44,Oita,2020-04-16,2020-05-14,1
45,Miyazaki,2020-04-16,2020-05-14,1
46,Kagoshima,2020-04-16,2020-05-14,1
47,Okinawa,2020-04-16,2020-05-14,1
11,Saitama,2021-01-08,2021-03-21,2
12,Chiba,2021-01-08,2021-03-21,2
13,Tokyo,2021-01-08,2021-03-21,2
14,Kanagawa,2021-01-08,2021-03-21,2
9,Tochigi,2021-01-14,2021-02-07,2
21,Gifu,2021-01-14,2021-02-28,2
23,Aichi,2021-01-14,2021-02-28,2
26,Kyoto,2021-01-14,2021-02-28,2
27,Osaka,2021-01-14,2021-02-28,2
28,Hyogo,2021-01-14,2021-02-28,2
40,Fukuoka,2021-01-14,2021-02-28,2
13,Tokyo,2021-04-25,,3
26,Kyoto,2021-04-25,,3
27,Osaka,2021-04-25,,3
28,Hyogo,2021-04-25,,3
23,Aichi,2021-05-12,,2
40,Fukuoka,2021-05-12,,3
